2004|Opening Balance|120000.0|2025-05-11 04:28:23
2005|Opening Balance|456000.0|2025-05-11 04:29:15
2004|Transfer to 2005|1000.0|2025-05-11 04:29:49
2005|Transfer from 2004|1000.0|2025-05-11 04:29:49
2004|Interest|297.5|2025-05-11 05:25:49
2005|Interest|1142.5|2025-05-11 05:25:49
2006|Opening Balance|230000.0|2025-05-11 05:57:09
2006|Interest|575.0|2025-05-11 05:57:20
2004|EMI Payment|18333.33|2025-05-11 06:28:28
2004|EMI Payment|18333.33|2025-05-11 06:29:44
2007|Opening Balance|230000.0|2025-05-12 12:04:10
2007|Interest|575.0|2025-05-12 12:24:46
2008|Opening Balance|12000.0|2025-05-12 12:28:02
2004|Deposit|24000.0|2025-05-12 12:32:22
2005|Deposit|3000.0|2025-05-12 12:32:42
2005|Withdraw|57000.0|2025-05-12 12:33:28
2008|Interest|30.0|2025-05-12 12:36:53
2005|Transfer to 2008|57000.0|2025-05-12 12:40:06
2008|Transfer from 2005|57000.0|2025-05-12 12:40:06
2005|Deposit|3400.0|2025-05-12 16:53:11
2005|Deposit|34000.0|2025-05-12 16:56:57
2005|Withdraw|34000.0|2025-05-12 16:57:28
2009|Opening Balance|23000.0|2025-05-12 18:15:53
2009|Deposit|23000.0|2025-05-12 18:16:28
2009|Withdraw|23000.0|2025-05-12 18:16:40
2009|Transfer to 2005|12000.0|2025-05-12 18:17:02
2005|Transfer from 2009|12000.0|2025-05-12 18:17:02
2009|Interest|27.5|2025-05-12 18:18:25
2010|Opening Balance|12000.0|2025-05-12 18:28:20
2010|Deposit|12000.0|2025-05-12 18:29:55
2010|Withdraw|6000.0|2025-05-12 18:30:06
2010|Interest|45.0|2025-05-12 18:30:24
2011|Opening Balance|120000.0|2025-05-13 07:50:38
2011|Interest|300.0|2025-05-13 07:52:48
2012|Opening Balance|23000.0|2025-05-13 08:18:50
2012|Interest|57.5|2025-05-13 08:19:14
2013|Opening Balance|23000.0|2025-05-13 08:53:19
2014|Opening Balance|23000.0|2025-05-13 09:59:47
2013|Interest|57.50|2025-05-13 09:59:58
2014|Interest|57.50|2025-05-13 09:59:58
2015|Opening Balance|12000.0|2025-05-13 12:51:00
